item_id,record_id_real,field,component
ITEM_0125,V25R007,follow_up,exposure_qualified_observation
ITEM_0126,V25R098,follow_up,trace_coverage
ITEM_0127,V25R091,exposure,unit
ITEM_0128,V25R041,exposure,coverage
ITEM_0129,V25R081,exposure,unit
ITEM_0130,V25R013,closure,uncertainty
ITEM_0131,V25R003,follow_up,calendar_interval
ITEM_0132,V25R063,closure,reopening_rule
ITEM_0133,V25R010,closure,scope
ITEM_0134,V25R061,exposure,time_origin
ITEM_0135,V25R024,exposure,time_origin
ITEM_0136,V25R043,follow_up,trace_coverage
ITEM_0137,V25R063,closure,uncertainty
ITEM_0138,V25R095,follow_up,trace_coverage
ITEM_0139,V25R020,closure,date
ITEM_0140,V25R004,closure,date
ITEM_0141,V25R070,follow_up,trace_coverage
ITEM_0142,V25R076,follow_up,calendar_interval
ITEM_0143,V25R044,follow_up,trace_coverage
ITEM_0144,V25R080,exposure,coverage
ITEM_0145,V25R045,exposure,time_origin
ITEM_0146,V25R049,exposure,eligibility
ITEM_0147,V25R001,closure,scope
ITEM_0148,V25R092,exposure,unit
ITEM_0149,V25R086,closure,date
ITEM_0150,V25R062,exposure,eligibility
ITEM_0151,V25R056,closure,reopening_rule
ITEM_0152,V25R039,exposure,time_origin
ITEM_0153,V25R056,closure,evidence_basis
ITEM_0154,V25R020,closure,reopening_rule
ITEM_0155,V25R100,closure,owner
ITEM_0156,V25R086,follow_up,trace_coverage
ITEM_0157,V25R041,closure,uncertainty
ITEM_0158,V25R078,closure,evidence_basis
ITEM_0159,V25R076,closure,uncertainty
ITEM_0160,V25R038,follow_up,trace_coverage
ITEM_0161,V25R089,exposure,eligibility
ITEM_0162,V25R039,closure,date
ITEM_0163,V25R056,follow_up,trace_coverage
ITEM_0164,V25R050,exposure,coverage
ITEM_0165,V25R010,follow_up,calendar_interval
ITEM_0166,V25R080,follow_up,calendar_interval
ITEM_0167,V25R060,follow_up,owner
ITEM_0168,V25R077,closure,scope
ITEM_0169,V25R032,exposure,coverage
ITEM_0170,V25R086,closure,reopening_rule
ITEM_0171,V25R034,closure,owner
ITEM_0172,V25R012,closure,owner
ITEM_0173,V25R040,closure,scope
ITEM_0174,V25R003,closure,date
ITEM_0175,V25R062,closure,owner
ITEM_0176,V25R027,closure,date
ITEM_0177,V25R065,exposure,time_origin
ITEM_0178,V25R029,follow_up,owner
ITEM_0179,V25R077,closure,uncertainty
ITEM_0180,V25R069,exposure,unit
ITEM_0181,V25R060,closure,owner
ITEM_0182,V25R087,exposure,unit
ITEM_0183,V25R014,closure,reopening_rule
ITEM_0184,V25R004,closure,evidence_basis
ITEM_0185,V25R045,closure,scope
ITEM_0186,V25R013,closure,reopening_rule
ITEM_0187,V25R010,exposure,eligibility
ITEM_0188,V25R077,follow_up,owner
ITEM_0189,V25R085,closure,uncertainty
ITEM_0190,V25R037,follow_up,exposure_qualified_observation
ITEM_0191,V25R020,follow_up,calendar_interval
ITEM_0192,V25R062,closure,reopening_rule
ITEM_0193,V25R020,follow_up,owner
ITEM_0194,V25R054,exposure,unit
ITEM_0195,V25R048,exposure,unit
ITEM_0196,V25R041,follow_up,exposure_qualified_observation
ITEM_0197,V25R014,follow_up,calendar_interval
ITEM_0198,V25R068,closure,uncertainty
ITEM_0199,V25R086,closure,owner
ITEM_0200,V25R053,closure,uncertainty
ITEM_0201,V25R055,follow_up,exposure_qualified_observation
ITEM_0202,V25R056,exposure,unit
ITEM_0203,V25R040,closure,owner
ITEM_0204,V25R036,closure,uncertainty
ITEM_0205,V25R075,closure,reopening_rule
ITEM_0206,V25R039,closure,evidence_basis
ITEM_0207,V25R023,exposure,coverage
ITEM_0208,V25R054,exposure,time_origin
ITEM_0209,V25R053,closure,reopening_rule
ITEM_0210,V25R007,exposure,unit
ITEM_0211,V25R066,follow_up,owner
ITEM_0212,V25R047,follow_up,trace_coverage
ITEM_0213,V25R074,closure,reopening_rule
ITEM_0214,V25R075,closure,date
ITEM_0215,V25R078,exposure,coverage
ITEM_0216,V25R020,closure,evidence_basis
ITEM_0217,V25R063,closure,owner
ITEM_0218,V25R043,closure,uncertainty
ITEM_0219,V25R037,closure,reopening_rule
ITEM_0220,V25R023,closure,scope
ITEM_0221,V25R081,closure,reopening_rule
ITEM_0222,V25R027,follow_up,trace_coverage
ITEM_0223,V25R093,exposure,eligibility
ITEM_0224,V25R071,follow_up,exposure_qualified_observation
ITEM_0225,V25R025,follow_up,calendar_interval
ITEM_0226,V25R046,exposure,unit
ITEM_0227,V25R003,follow_up,trace_coverage
ITEM_0228,V25R010,follow_up,exposure_qualified_observation
ITEM_0229,V25R049,exposure,coverage
ITEM_0230,V25R008,exposure,unit
ITEM_0231,V25R032,closure,owner
ITEM_0232,V25R001,exposure,eligibility
ITEM_0233,V25R085,closure,owner
ITEM_0234,V25R083,follow_up,calendar_interval
ITEM_0235,V25R040,exposure,time_origin
ITEM_0236,V25R007,closure,owner
ITEM_0237,V25R083,follow_up,exposure_qualified_observation
ITEM_0238,V25R065,closure,evidence_basis
ITEM_0239,V25R099,closure,date
ITEM_0240,V25R012,closure,date
ITEM_0241,V25R059,exposure,time_origin
ITEM_0242,V25R096,closure,date
ITEM_0243,V25R013,exposure,eligibility
ITEM_0244,V25R058,closure,uncertainty
ITEM_0245,V25R064,closure,owner
ITEM_0246,V25R067,closure,scope
ITEM_0247,V25R083,closure,uncertainty
ITEM_0248,V25R016,closure,scope
ITEM_0249,V25R046,closure,scope
ITEM_0250,V25R040,closure,reopening_rule
ITEM_0251,V25R073,closure,owner
ITEM_0252,V25R061,exposure,eligibility
ITEM_0253,V25R034,closure,scope
ITEM_0254,V25R076,exposure,time_origin
ITEM_0255,V25R079,exposure,unit
ITEM_0256,V25R092,follow_up,owner
ITEM_0257,V25R026,follow_up,owner
ITEM_0258,V25R019,closure,uncertainty
ITEM_0259,V25R097,closure,owner
ITEM_0260,V25R041,closure,date
ITEM_0261,V25R009,exposure,eligibility
ITEM_0262,V25R027,closure,evidence_basis
ITEM_0263,V25R033,follow_up,exposure_qualified_observation
ITEM_0264,V25R090,closure,uncertainty
ITEM_0265,V25R062,follow_up,exposure_qualified_observation
ITEM_0266,V25R031,exposure,coverage
ITEM_0267,V25R014,follow_up,exposure_qualified_observation
ITEM_0268,V25R017,follow_up,exposure_qualified_observation
ITEM_0269,V25R054,closure,date
ITEM_0270,V25R001,closure,reopening_rule
ITEM_0271,V25R054,exposure,coverage
ITEM_0272,V25R063,exposure,time_origin
ITEM_0273,V25R009,closure,uncertainty
ITEM_0274,V25R072,closure,reopening_rule
ITEM_0275,V25R022,exposure,eligibility
ITEM_0276,V25R008,closure,scope
ITEM_0277,V25R097,exposure,unit
ITEM_0278,V25R058,closure,scope
ITEM_0279,V25R078,follow_up,owner
ITEM_0280,V25R001,exposure,coverage
ITEM_0281,V25R049,closure,uncertainty
ITEM_0282,V25R007,closure,reopening_rule
ITEM_0283,V25R029,follow_up,exposure_qualified_observation
ITEM_0284,V25R026,closure,reopening_rule
ITEM_0285,V25R091,closure,scope
ITEM_0286,V25R069,closure,scope
ITEM_0287,V25R019,closure,scope
ITEM_0288,V25R052,closure,scope
ITEM_0289,V25R087,follow_up,calendar_interval
ITEM_0290,V25R027,closure,reopening_rule
ITEM_0291,V25R071,exposure,eligibility
ITEM_0292,V25R040,follow_up,calendar_interval
ITEM_0293,V25R079,follow_up,exposure_qualified_observation
ITEM_0294,V25R100,exposure,time_origin
ITEM_0295,V25R022,exposure,unit
ITEM_0296,V25R073,closure,date
ITEM_0297,V25R064,closure,scope
ITEM_0298,V25R100,follow_up,owner
ITEM_0299,V25R048,closure,date
ITEM_0300,V25R099,exposure,time_origin
ITEM_0301,V25R031,closure,uncertainty
ITEM_0302,V25R056,closure,uncertainty
ITEM_0303,V25R056,follow_up,exposure_qualified_observation
ITEM_0304,V25R025,exposure,eligibility
ITEM_0305,V25R042,closure,reopening_rule
ITEM_0306,V25R095,closure,owner
ITEM_0307,V25R052,exposure,eligibility
ITEM_0308,V25R053,follow_up,exposure_qualified_observation
ITEM_0309,V25R059,follow_up,calendar_interval
ITEM_0310,V25R001,follow_up,exposure_qualified_observation
ITEM_0311,V25R094,follow_up,calendar_interval
ITEM_0312,V25R029,closure,date
ITEM_0313,V25R091,follow_up,exposure_qualified_observation
ITEM_0314,V25R081,exposure,coverage
ITEM_0315,V25R019,follow_up,exposure_qualified_observation
ITEM_0316,V25R007,exposure,time_origin
ITEM_0317,V25R047,exposure,time_origin
ITEM_0318,V25R064,follow_up,exposure_qualified_observation
ITEM_0319,V25R056,closure,date
ITEM_0320,V25R013,closure,date
ITEM_0321,V25R099,closure,uncertainty
ITEM_0322,V25R037,follow_up,trace_coverage
ITEM_0323,V25R040,exposure,unit
ITEM_0324,V25R019,follow_up,trace_coverage
ITEM_0325,V25R075,exposure,time_origin
ITEM_0326,V25R008,closure,evidence_basis
ITEM_0327,V25R052,closure,owner
ITEM_0328,V25R069,follow_up,owner
ITEM_0329,V25R086,closure,evidence_basis
ITEM_0330,V25R096,closure,evidence_basis
ITEM_0331,V25R017,follow_up,owner
ITEM_0332,V25R053,follow_up,owner
ITEM_0333,V25R030,follow_up,exposure_qualified_observation
ITEM_0334,V25R082,closure,reopening_rule
ITEM_0335,V25R046,closure,reopening_rule
ITEM_0336,V25R030,closure,evidence_basis
ITEM_0337,V25R006,follow_up,trace_coverage
ITEM_0338,V25R005,follow_up,calendar_interval
ITEM_0339,V25R081,exposure,time_origin
ITEM_0340,V25R026,closure,uncertainty
ITEM_0341,V25R047,closure,evidence_basis
ITEM_0342,V25R008,closure,uncertainty
ITEM_0343,V25R017,exposure,unit
ITEM_0344,V25R093,follow_up,exposure_qualified_observation
ITEM_0345,V25R002,exposure,eligibility
ITEM_0346,V25R095,closure,evidence_basis
ITEM_0347,V25R027,follow_up,calendar_interval
ITEM_0348,V25R050,exposure,unit
ITEM_0349,V25R002,exposure,coverage
ITEM_0350,V25R100,closure,scope
ITEM_0351,V25R044,closure,reopening_rule
ITEM_0352,V25R089,closure,owner
ITEM_0353,V25R067,closure,uncertainty
ITEM_0354,V25R001,follow_up,owner
ITEM_0355,V25R074,exposure,eligibility
ITEM_0356,V25R055,closure,owner
ITEM_0357,V25R079,follow_up,owner
ITEM_0358,V25R070,exposure,coverage
ITEM_0359,V25R016,closure,uncertainty
ITEM_0360,V25R054,closure,uncertainty
ITEM_0361,V25R031,follow_up,owner
ITEM_0362,V25R019,follow_up,calendar_interval
ITEM_0363,V25R061,exposure,unit
ITEM_0364,V25R052,closure,date
ITEM_0365,V25R088,exposure,time_origin
ITEM_0366,V25R042,exposure,unit
ITEM_0367,V25R091,closure,reopening_rule
ITEM_0368,V25R069,closure,date
ITEM_0369,V25R030,follow_up,owner
ITEM_0370,V25R011,closure,date
ITEM_0371,V25R065,exposure,coverage
ITEM_0372,V25R100,closure,uncertainty
ITEM_0373,V25R058,follow_up,owner
ITEM_0374,V25R037,exposure,time_origin
ITEM_0375,V25R019,exposure,time_origin
ITEM_0376,V25R057,exposure,unit
ITEM_0377,V25R088,closure,uncertainty
ITEM_0378,V25R051,exposure,coverage
ITEM_0379,V25R018,closure,evidence_basis
ITEM_0380,V25R005,exposure,time_origin
ITEM_0381,V25R051,closure,owner
ITEM_0382,V25R048,follow_up,calendar_interval
ITEM_0383,V25R016,follow_up,calendar_interval
ITEM_0384,V25R008,exposure,coverage
ITEM_0385,V25R078,closure,date
ITEM_0386,V25R075,closure,evidence_basis
ITEM_0387,V25R081,closure,uncertainty
ITEM_0388,V25R050,follow_up,calendar_interval
ITEM_0389,V25R062,exposure,coverage
ITEM_0390,V25R058,exposure,unit
ITEM_0391,V25R075,follow_up,owner
ITEM_0392,V25R015,follow_up,exposure_qualified_observation
ITEM_0393,V25R065,follow_up,trace_coverage
ITEM_0394,V25R075,follow_up,calendar_interval
ITEM_0395,V25R006,closure,date
ITEM_0396,V25R045,follow_up,owner
ITEM_0397,V25R003,follow_up,exposure_qualified_observation
ITEM_0398,V25R044,closure,evidence_basis
ITEM_0399,V25R028,exposure,time_origin
ITEM_0400,V25R085,closure,reopening_rule
ITEM_0401,V25R049,closure,evidence_basis
ITEM_0402,V25R036,closure,evidence_basis
ITEM_0403,V25R094,follow_up,exposure_qualified_observation
ITEM_0404,V25R018,follow_up,trace_coverage
ITEM_0405,V25R043,follow_up,exposure_qualified_observation
ITEM_0406,V25R014,closure,owner
ITEM_0407,V25R005,exposure,eligibility
ITEM_0408,V25R077,exposure,coverage
ITEM_0409,V25R093,follow_up,owner
ITEM_0410,V25R041,closure,reopening_rule
ITEM_0411,V25R021,closure,date
ITEM_0412,V25R051,exposure,time_origin
ITEM_0413,V25R004,closure,owner
ITEM_0414,V25R059,exposure,coverage
ITEM_0415,V25R067,follow_up,trace_coverage
ITEM_0416,V25R055,closure,reopening_rule
ITEM_0417,V25R058,follow_up,trace_coverage
ITEM_0418,V25R066,closure,evidence_basis
ITEM_0419,V25R040,exposure,eligibility
ITEM_0420,V25R031,follow_up,calendar_interval
ITEM_0421,V25R010,closure,uncertainty
ITEM_0422,V25R069,exposure,time_origin
ITEM_0423,V25R100,follow_up,exposure_qualified_observation
ITEM_0424,V25R048,closure,owner
ITEM_0425,V25R025,closure,owner
ITEM_0426,V25R007,closure,evidence_basis
ITEM_0427,V25R001,closure,owner
ITEM_0428,V25R079,exposure,time_origin
ITEM_0429,V25R038,exposure,unit
ITEM_0430,V25R036,closure,reopening_rule
ITEM_0431,V25R090,follow_up,exposure_qualified_observation
ITEM_0432,V25R040,follow_up,exposure_qualified_observation
ITEM_0433,V25R027,closure,uncertainty
ITEM_0434,V25R045,closure,reopening_rule
ITEM_0435,V25R032,follow_up,owner
ITEM_0436,V25R071,closure,owner
ITEM_0437,V25R032,closure,evidence_basis
ITEM_0438,V25R026,exposure,unit
ITEM_0439,V25R025,follow_up,trace_coverage
ITEM_0440,V25R022,closure,reopening_rule
ITEM_0441,V25R006,closure,scope
ITEM_0442,V25R093,exposure,time_origin
ITEM_0443,V25R062,closure,evidence_basis
ITEM_0444,V25R076,closure,evidence_basis
ITEM_0445,V25R074,exposure,time_origin
ITEM_0446,V25R006,follow_up,exposure_qualified_observation
ITEM_0447,V25R011,exposure,time_origin
ITEM_0448,V25R059,closure,scope
ITEM_0449,V25R080,closure,uncertainty
ITEM_0450,V25R073,closure,uncertainty
ITEM_0451,V25R014,closure,uncertainty
ITEM_0452,V25R072,exposure,unit
ITEM_0453,V25R092,closure,evidence_basis
ITEM_0454,V25R010,closure,evidence_basis
ITEM_0455,V25R028,closure,reopening_rule
ITEM_0456,V25R055,exposure,eligibility
ITEM_0457,V25R099,follow_up,calendar_interval
ITEM_0458,V25R067,follow_up,owner
ITEM_0459,V25R082,closure,scope
ITEM_0460,V25R053,follow_up,calendar_interval
ITEM_0461,V25R036,follow_up,trace_coverage
ITEM_0462,V25R005,exposure,unit
ITEM_0463,V25R043,closure,date
ITEM_0464,V25R065,closure,date
ITEM_0465,V25R030,closure,date
ITEM_0466,V25R038,closure,uncertainty
ITEM_0467,V25R062,follow_up,trace_coverage
ITEM_0468,V25R092,exposure,eligibility
ITEM_0469,V25R096,closure,scope
ITEM_0470,V25R051,closure,scope
ITEM_0471,V25R065,follow_up,owner
ITEM_0472,V25R083,closure,reopening_rule
ITEM_0473,V25R017,closure,scope
ITEM_0474,V25R026,exposure,time_origin
ITEM_0475,V25R006,closure,owner
ITEM_0476,V25R052,closure,uncertainty
ITEM_0477,V25R069,exposure,coverage
ITEM_0478,V25R052,closure,reopening_rule
ITEM_0479,V25R066,exposure,time_origin
ITEM_0480,V25R011,follow_up,owner
ITEM_0481,V25R091,closure,evidence_basis
ITEM_0482,V25R039,follow_up,calendar_interval
ITEM_0483,V25R061,follow_up,exposure_qualified_observation
ITEM_0484,V25R026,follow_up,trace_coverage
ITEM_0485,V25R062,closure,date
ITEM_0486,V25R048,closure,uncertainty
ITEM_0487,V25R064,exposure,eligibility
ITEM_0488,V25R082,closure,uncertainty
ITEM_0489,V25R016,closure,date
ITEM_0490,V25R092,closure,owner
ITEM_0491,V25R087,closure,scope
ITEM_0492,V25R014,exposure,time_origin
ITEM_0493,V25R009,closure,scope
ITEM_0494,V25R053,exposure,unit
ITEM_0495,V25R041,closure,scope
ITEM_0496,V25R070,exposure,eligibility
ITEM_0497,V25R085,follow_up,exposure_qualified_observation
ITEM_0498,V25R096,closure,owner
ITEM_0499,V25R018,closure,scope
ITEM_0500,V25R032,follow_up,trace_coverage
ITEM_0501,V25R071,closure,date
ITEM_0502,V25R016,follow_up,owner
ITEM_0503,V25R059,exposure,unit
ITEM_0504,V25R082,exposure,unit
ITEM_0505,V25R007,closure,date
ITEM_0506,V25R068,closure,date
ITEM_0507,V25R087,closure,evidence_basis
ITEM_0508,V25R022,follow_up,exposure_qualified_observation
ITEM_0509,V25R039,follow_up,exposure_qualified_observation
ITEM_0510,V25R050,closure,owner
ITEM_0511,V25R039,closure,owner
ITEM_0512,V25R006,follow_up,owner
ITEM_0513,V25R053,exposure,coverage
ITEM_0514,V25R068,closure,reopening_rule
ITEM_0515,V25R006,exposure,eligibility
ITEM_0516,V25R018,follow_up,calendar_interval
ITEM_0517,V25R099,closure,evidence_basis
ITEM_0518,V25R049,exposure,time_origin
ITEM_0519,V25R018,closure,date
ITEM_0520,V25R044,closure,date
ITEM_0521,V25R099,exposure,eligibility
ITEM_0522,V25R099,closure,scope
ITEM_0523,V25R030,exposure,eligibility
ITEM_0524,V25R037,exposure,eligibility
ITEM_0525,V25R085,closure,date
ITEM_0526,V25R018,exposure,unit
ITEM_0527,V25R066,closure,date
ITEM_0528,V25R014,follow_up,owner
ITEM_0529,V25R021,follow_up,calendar_interval
ITEM_0530,V25R084,exposure,coverage
ITEM_0531,V25R068,follow_up,owner
ITEM_0532,V25R076,follow_up,exposure_qualified_observation
ITEM_0533,V25R082,exposure,eligibility
ITEM_0534,V25R077,exposure,unit
ITEM_0535,V25R009,exposure,coverage
ITEM_0536,V25R007,closure,scope
ITEM_0537,V25R066,closure,owner
ITEM_0538,V25R039,exposure,unit
ITEM_0539,V25R042,closure,uncertainty
ITEM_0540,V25R015,closure,date
ITEM_0541,V25R034,follow_up,exposure_qualified_observation
ITEM_0542,V25R074,follow_up,calendar_interval
ITEM_0543,V25R086,follow_up,calendar_interval
ITEM_0544,V25R055,exposure,time_origin
ITEM_0545,V25R023,follow_up,owner
ITEM_0546,V25R091,exposure,coverage
ITEM_0547,V25R100,follow_up,trace_coverage
ITEM_0548,V25R078,closure,reopening_rule
ITEM_0549,V25R067,exposure,unit
ITEM_0550,V25R098,closure,date
ITEM_0551,V25R070,follow_up,owner
ITEM_0552,V25R021,closure,scope
ITEM_0553,V25R032,closure,uncertainty
ITEM_0554,V25R046,closure,date
ITEM_0555,V25R093,exposure,unit
ITEM_0556,V25R044,closure,uncertainty
ITEM_0557,V25R094,closure,reopening_rule
ITEM_0558,V25R087,exposure,time_origin
ITEM_0559,V25R037,closure,evidence_basis
ITEM_0560,V25R029,closure,scope
ITEM_0561,V25R096,closure,reopening_rule
ITEM_0562,V25R015,follow_up,trace_coverage
ITEM_0563,V25R001,closure,evidence_basis
ITEM_0564,V25R045,follow_up,calendar_interval
ITEM_0565,V25R094,closure,date
ITEM_0566,V25R034,closure,date
ITEM_0567,V25R090,closure,owner
ITEM_0568,V25R015,closure,scope
ITEM_0569,V25R021,closure,owner
ITEM_0570,V25R015,exposure,coverage
ITEM_0571,V25R045,closure,evidence_basis
ITEM_0572,V25R033,follow_up,calendar_interval
ITEM_0573,V25R092,follow_up,trace_coverage
ITEM_0574,V25R019,follow_up,owner
ITEM_0575,V25R050,closure,reopening_rule
ITEM_0576,V25R042,closure,owner
ITEM_0577,V25R092,exposure,time_origin
ITEM_0578,V25R003,closure,evidence_basis
ITEM_0579,V25R029,follow_up,trace_coverage
ITEM_0580,V25R073,exposure,eligibility
ITEM_0581,V25R011,follow_up,trace_coverage
ITEM_0582,V25R069,exposure,eligibility
ITEM_0583,V25R005,closure,reopening_rule
ITEM_0584,V25R024,closure,uncertainty
ITEM_0585,V25R027,exposure,unit
ITEM_0586,V25R098,closure,reopening_rule
ITEM_0587,V25R070,exposure,time_origin
ITEM_0588,V25R078,closure,owner
ITEM_0589,V25R005,closure,scope
ITEM_0590,V25R045,closure,date
ITEM_0591,V25R034,follow_up,calendar_interval
ITEM_0592,V25R047,exposure,coverage
ITEM_0593,V25R024,follow_up,exposure_qualified_observation
ITEM_0594,V25R026,follow_up,calendar_interval
ITEM_0595,V25R074,closure,uncertainty
ITEM_0596,V25R041,exposure,eligibility
ITEM_0597,V25R002,follow_up,exposure_qualified_observation
ITEM_0598,V25R050,closure,evidence_basis
ITEM_0599,V25R003,closure,uncertainty
ITEM_0600,V25R046,closure,evidence_basis
ITEM_0601,V25R034,closure,evidence_basis
ITEM_0602,V25R052,follow_up,calendar_interval
ITEM_0603,V25R044,exposure,coverage
ITEM_0604,V25R008,closure,reopening_rule
ITEM_0605,V25R028,follow_up,owner
ITEM_0606,V25R037,closure,owner
ITEM_0607,V25R090,exposure,time_origin
ITEM_0608,V25R045,closure,owner
ITEM_0609,V25R019,exposure,coverage
ITEM_0610,V25R092,exposure,coverage
ITEM_0611,V25R024,follow_up,calendar_interval
ITEM_0612,V25R030,closure,uncertainty
ITEM_0613,V25R080,closure,evidence_basis
ITEM_0614,V25R020,exposure,unit
ITEM_0615,V25R039,follow_up,owner
ITEM_0616,V25R098,follow_up,owner
ITEM_0617,V25R002,closure,evidence_basis
ITEM_0618,V25R066,follow_up,trace_coverage
ITEM_0619,V25R088,exposure,coverage
ITEM_0620,V25R023,follow_up,exposure_qualified_observation
ITEM_0621,V25R011,follow_up,calendar_interval
ITEM_0622,V25R083,exposure,coverage
ITEM_0623,V25R029,closure,evidence_basis
ITEM_0624,V25R099,follow_up,trace_coverage
ITEM_0625,V25R094,follow_up,trace_coverage
ITEM_0626,V25R007,follow_up,trace_coverage
ITEM_0627,V25R033,follow_up,owner
ITEM_0628,V25R073,follow_up,calendar_interval
ITEM_0629,V25R096,exposure,unit
ITEM_0630,V25R066,exposure,unit
ITEM_0631,V25R029,follow_up,calendar_interval
ITEM_0632,V25R002,follow_up,calendar_interval
ITEM_0633,V25R021,exposure,coverage
ITEM_0634,V25R018,follow_up,owner
