record_id,case_id,legacy_case_id,incident_cluster_id,cluster_row_count,cluster_relation_basis,title,historical_selection_cohort,source_stratum,source_type,selection_reason,source_relationship,source_provenance_status,source_url,source_snapshot,source_hash,source_date,source_access_date,url_check_access_date,url_check_status,exposure_recoverability_state,follow_up_recoverability_state,closure_recoverability_state,inherited_incident_cluster_id,canonical_cluster_id
V25R011,AIID11,AIID11,CL011,1,inherited incident_cluster_id; full relation basis not recoverable,Defamation via AutoComplete,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-011,aiid_backup_20260720/incidents.csv + reports.csv,1a1a9b2b72f9f4dc10615a6b5b496fd9c0b05804c867ec55f35228299da19347,2011-04-05,2026-08-15,2026-08-28,HTTP_404,partial_support,not_recovered,partial_support,45,CL011
V25R012,AIID12,AIID12,CL012,1,inherited incident_cluster_id; full relation basis not recoverable,Gender Biases of Google Image Search,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-012,aiid_backup_20260720/incidents.csv + reports.csv,c0642451fd08944f64967b4ecffb24033d423ae4ca28276ee93bf2703442c48d,2015-04-04,2026-08-15,2026-08-28,HTTP_200,partial_support,partial_support,not_recovered,18,CL012
V25R013,AIID13,AIID13,CL013,1,inherited incident_cluster_id; full relation basis not recoverable,"Facebook’s ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent",inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-013,aiid_backup_20260720/incidents.csv + reports.csv,29fd8173059fa472ee6668e4d63c996c0eacdb6db489af6b398f1cfc33075264,2015-06-14,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,122,CL013
V25R014,AIID14,AIID14,CL014,1,inherited incident_cluster_id; full relation basis not recoverable,Biased Google Image Results,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-014,aiid_backup_20260720/incidents.csv + reports.csv,e934a279d575c6a2343152d57a46b1d318c0f4c1cd7bacd20e3f9ccc45d4016a,2016-03-31,2026-08-15,2026-08-28,HTTP_404,not_recovered,not_recovered,not_recovered,53,CL014
V25R015,AIID15,AIID15,CL015,1,inherited incident_cluster_id; full relation basis not recoverable,Google Image Showed Racially Biased Results for “Professional” Hairstyles,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-015,aiid_backup_20260720/incidents.csv + reports.csv,df035809f7e788e4cc904dd63a51e6c07b992c982d6b616cb3f14a0dbc23eea6,2016-04-05,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,332,CL015
V25R016,AIID16,AIID16,CL016,1,inherited incident_cluster_id; full relation basis not recoverable,Inefficiencies in the United States Resident Matching Program,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-016,aiid_backup_20260720/incidents.csv + reports.csv,212c981debf89171dfb5b3cc0e225a8dbfa1a92b7b1a8fc1b1eac0d30297a6cd,1996-04-03,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,42,CL016
V25R017,AIID17,AIID17,CL017,1,inherited incident_cluster_id; full relation basis not recoverable,St George's Hospital Medical School allegedly Automated Admissions with Discriminatory Results,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-017,aiid_backup_20260720/incidents.csv + reports.csv,3c90bf5a62e42cc39b0785e2076b7ac3820640148ceface053293811ef31b767,1998-03-05,2026-08-15,2026-08-28,HTTP_404,complete_support,not_recovered,partial_support,43,CL017
V25R018,AIID18,AIID18,CL018,1,inherited incident_cluster_id; full relation basis not recoverable,Kidney Testing Method Allegedly Underestimated Risk of Black Patients,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-018,aiid_backup_20260720/incidents.csv + reports.csv,5aeacacb3a054f3d81ab56741688a8d3615942316e90409c5a19231d26d6c22b,1999-03-16,2026-08-15,2026-08-28,HTTP_200,partial_support,partial_support,not_recovered,79,CL018
V25R019,AIID19,AIID19,CL019,1,inherited incident_cluster_id; full relation basis not recoverable,Algorithmic Teacher Evaluation Program Reportedly Failed to Improve Student Outcomes and Was Alleged to Have Harmed Teachers,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-019,aiid_backup_20260720/incidents.csv + reports.csv,80637675a6b95b4fb824c165bd76a303f62c91959c403b397312e7420c2607dc,2009-09-01,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,239,CL019
V25R020,AIID20,AIID20,CL020,1,inherited incident_cluster_id; full relation basis not recoverable,Major Universities Are Reportedly Using Race as a 'High Impact Predictor' of Student Success,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-020,aiid_backup_20260720/incidents.csv + reports.csv,e57f7190e28fd988bc1488471b9f7a19ac96b9400f4704bd316e3fe441a43582,2012-01-01,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,99,CL020
V25R021,AIID21,AIID21,CL021,1,inherited incident_cluster_id; full relation basis not recoverable,Collection of Robotic Surgery Malfunctions,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-021,aiid_backup_20260720/incidents.csv + reports.csv,c0599eaaec2b6b48615d6a195d307c15582a27c1059940140cc8b031c52478d5,2015-07-13,2026-08-15,2026-08-28,HTTP_404,partial_support,not_recovered,not_recovered,5,CL021
V25R022,AIID22,AIID22,CL022,1,inherited incident_cluster_id; full relation basis not recoverable,Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Beneficiaries,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-022,aiid_backup_20260720/incidents.csv + reports.csv,3f159ac992fc7e93eac51aa4f6497f549bd2badd73e548902566b02702008005,2016-01-01,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,partial_support,110,CL022
V25R023,AIID23,AIID23,CL023,1,inherited incident_cluster_id; full relation basis not recoverable,"Facebook ""News Feed"" Allegedly Boosted Misinformation and Violating Content Following Use of MSI Metric",inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-023,aiid_backup_20260720/incidents.csv + reports.csv,01d6e257de32212976c3767536a0ae60c42a565ab65a861065a91f7188523821,2018-10-01,2026-08-15,2026-08-28,HTTP_401,not_recovered,not_recovered,not_recovered,164,CL023
V25R024,AIID24,AIID24,CL024,1,inherited incident_cluster_id; full relation basis not recoverable,Warehouse robot ruptures can of bear spray and injures workers,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-024,aiid_backup_20260720/incidents.csv + reports.csv,ce043874ef0e2452affa670350d5e83c24416aad72baea7f02a503907f71998e,2018-12-05,2026-08-15,2026-08-28,HTTP_200,partial_support,partial_support,not_recovered,2,CL024
V25R025,AIID25,AIID25,CL025,1,inherited incident_cluster_id; full relation basis not recoverable,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-025,aiid_backup_20260720/incidents.csv + reports.csv,9f8fc8554d8d436d9bf11d699961128a02f51305d8e718db64e4c600fb855f12,2019-06-03,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,501,CL025
V25R026,AIID26,AIID26,CL026,1,inherited incident_cluster_id; full relation basis not recoverable,Virginia Courts’ Algorithmic Recidivism Risk Assessment Failed to Lower Incarceration Rates,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-026,aiid_backup_20260720/incidents.csv + reports.csv,548eb6720c501e241fcf48e1be61bd5fbc316a815dd86845e6ca7f58f9232c00,2003-07-01,2026-08-15,2026-08-28,HTTP_403,partial_support,not_recovered,not_recovered,274,CL026
V25R027,AIID27,AIID27,CL027,1,inherited incident_cluster_id; full relation basis not recoverable,Unverified Misreading by Automated Plate Reader Led to Traffic Stop and Restraint of an Innocent Person at Gunpoint in California,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,URL_failed_snapshot_retained,SRC-027,aiid_backup_20260720/incidents.csv + reports.csv,41285de4f45331b81a2d6888bbd15460668c585dcd9ea0814c4e2472cad28c43,2009-03-30,2026-08-15,2026-08-28,HTTP_403,partial_support,not_recovered,not_recovered,245,CL027
V25R028,AIID28,AIID28,CL028,1,inherited incident_cluster_id; full relation basis not recoverable,Police Reportedly Deployed ShotSpotter Sensors Disproportionately in Neighborhoods of Color,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-028,aiid_backup_20260720/incidents.csv + reports.csv,3aa8b917f88ac059f683cb255d4661a724cc333e257e6daa989eeb3e91cf2b1c,2012-05-04,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,257,CL028
V25R029,AIID29,AIID29,CL029,1,inherited incident_cluster_id; full relation basis not recoverable,Chicago Police's Strategic Subject List Reportedly Biased Along Racial Lines,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-029,aiid_backup_20260720/incidents.csv + reports.csv,6f39f00ddf810d6818941d86106be7117433e3c6f57bb1d56a43bbd871e4d95e,2012-08-01,2026-08-15,2026-08-28,HTTP_200,complete_support,not_recovered,partial_support,433,CL029
V25R030,AIID30,AIID30,CL030,1,inherited incident_cluster_id; full relation basis not recoverable,Police Departments Reported ShotSpotter as Unreliable and Wasteful,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-030,aiid_backup_20260720/incidents.csv + reports.csv,2e388b0e8b32f1e7655ac211db2ad87732e75a0da40f1b9b454b509bc0e87c64,2012-10-09,2026-08-15,2026-08-28,HTTP_200,not_recovered,partial_support,not_recovered,112,CL030
V25R031,AIID31,AIID31,CL031,1,inherited incident_cluster_id; full relation basis not recoverable,Facebook Ad-Approval Algorithm Allegedly Missed Fraudulent Ads via Simple URL Checks,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-031,aiid_backup_20260720/incidents.csv + reports.csv,c602e8f0a9fd4cce86b79bcd8e1764944ea36e0af7918989c75856c46a795276,2016-06-02,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,316,CL031
V25R032,AIID32,AIID32,CL032,1,inherited incident_cluster_id; full relation basis not recoverable,Security Robot Rolls Over Child in Mall,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-032,aiid_backup_20260720/incidents.csv + reports.csv,d936c8d2ac0f9379d0af5f62721236fcae03472fd8e1d9b1b87cb613fd17b9d4,2016-07-12,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,51,CL032
V25R033,AIID33,AIID33,CL033,1,inherited incident_cluster_id; full relation basis not recoverable,BBC Reporter's Twin Brother Cracked HSBC's Voice ID Authentication,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-033,aiid_backup_20260720/incidents.csv + reports.csv,16cb9230dccde20e2f2a1e4bc99f84c43311d5c1444b788034283d5b510cf6f9,2017-05-19,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,428,CL033
V25R034,AIID34,AIID34,CL034,1,inherited incident_cluster_id; full relation basis not recoverable,Deepfake Obama Introduction of Deepfakes,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-034,aiid_backup_20260720/incidents.csv + reports.csv,caa38c7ac9c49b7b12a7a31e44b460669fbf538f32ec15baa0aa5ef3a84ebb16,2017-07-01,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,39,CL034
V25R035,AIID35,AIID35,CL035,1,inherited incident_cluster_id; full relation basis not recoverable,Security Robot Drowns Itself in a Fountain,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-035,aiid_backup_20260720/incidents.csv + reports.csv,8fc859c20431b2fbe90e6a90ddde1b9813728ae7282cc7356d5eda77fac386ae,2017-07-17,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,68,CL035
V25R036,AIID36,AIID36,CL036,1,inherited incident_cluster_id; full relation basis not recoverable,Machine Personal Assistants Failed to Maintain Social Norms,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-036,aiid_backup_20260720/incidents.csv + reports.csv,09822aecc978a8881fa417979fd1c84611605552efd4dc625dec6d46e22fcfcf,2008-07-01,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,44,CL036
V25R037,AIID37,AIID37,CL037,1,inherited incident_cluster_id; full relation basis not recoverable,UT Austin's GRADE Algorithm Reportedly Reduced Review of Lower-Scored PhD Applicants Amid Bias Concerns,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-037,aiid_backup_20260720/incidents.csv + reports.csv,ba7c67aca58d412243d8bc7c70782591f1b20fc6158bd67b0462abc9aefbde95,2012-12-01,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,partial_support,135,CL037
V25R038,AIID38,AIID38,CL038,1,inherited incident_cluster_id; full relation basis not recoverable,Inappropriate Gmail Smart Reply Suggestions,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-038,aiid_backup_20260720/incidents.csv + reports.csv,e6ed700122381bbb391a9c655fc1b89268b9edd4a72dd6f3d0546105e9e4b110,2015-11-03,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,17,CL038
V25R039,AIID39,AIID39,CL039,1,inherited incident_cluster_id; full relation basis not recoverable,COMPAS Algorithm Reportedly Performs Poorly in Crime Recidivism Prediction,inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-039,aiid_backup_20260720/incidents.csv + reports.csv,9da55bdf54341add6e56325a3c01436a8f4bd978def16614b286f5a0861d4857,2016-05-23,2026-08-15,2026-08-28,HTTP_200,partial_support,partial_support,partial_support,40,CL039
V25R040,AIID40,AIID40,CL040,1,inherited incident_cluster_id; full relation basis not recoverable,Tougher Turing Test Exposes Chatbots’ Stupidity (migrated to Issue),inherited_v21_v16_baseline,AIID,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,registry_derived,inherited_snapshot_rechecked,SRC-040,aiid_backup_20260720/incidents.csv + reports.csv,a7449b14ef891e4e17fd5939213f79c3c95e344e5977fe77bd934d7b46fe1fd3,2016-07-14,2026-08-15,2026-08-28,HTTP_200,not_applicable,not_applicable,not_applicable,21,CL040
V25R041,PUB01,PUB01,CL041,2,inherited incident_cluster_id; full relation basis not recoverable,Google’s YouTube Kids App Presents Inappropriate Content,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,inherited_snapshot_rechecked,SRC-041,v16_table_row_canonical_hash,2f02a41da4791f17a630224d322229903c29cea43e045238654dcb9a6cc9562f,2015-05-19,2026-08-15,2026-08-28,HTTP_200,not_recovered,not_recovered,not_recovered,1,CL041
V25R042,PUB02,PUB02,CL042,2,inherited incident_cluster_id; full relation basis not recoverable,Crashes with Maneuvering Characteristics Augmentation System (MCAS),inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,URL_failed_snapshot_retained,SRC-042,v16_table_row_canonical_hash,8910685f5a0e2f29681c9b632f09c4348690accbea6890bb92d5eae411e7ad77,2018-10-27,2026-08-15,2026-08-28,HTTP_403,partial_support,partial_support,not_recovered,3,CL042
V25R043,PUB03,PUB03,CL043,2,inherited incident_cluster_id; full relation basis not recoverable,Uber AV Killed Pedestrian in Arizona,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,URL_failed_snapshot_retained,SRC-043,v16_table_row_canonical_hash,8cef5dc46e11fd15c9e6792630e11d2ecf5ec6edefb334a78c5aa246ae80a477,2018-03-18,2026-08-15,2026-08-28,HTTP_403,partial_support,not_recovered,not_recovered,4,CL043
V25R044,PUB04,PUB04,CL044,2,inherited incident_cluster_id; full relation basis not recoverable,"Microsoft's TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter",inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,URL_failed_snapshot_retained,SRC-044,v16_table_row_canonical_hash,b115ee344a1a85744b03abf00dd574b3a0406bb789473b7c344160e3b345b2ab,2016-03-24,2026-08-15,2026-08-28,HTTP_404,partial_support,partial_support,partial_support,6,CL044
V25R045,PUB05,PUB05,CL045,2,inherited incident_cluster_id; full relation basis not recoverable,New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Teachers,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,URL_failed_snapshot_retained,SRC-045,v16_table_row_canonical_hash,a646a2e117e8213dd72b15c9188e2ae15f013eda5a9fdd5d26522896442efb64,2012-02-25,2026-08-15,2026-08-28,request_error,partial_support,not_recovered,not_recovered,9,CL045
V25R046,PUB06,PUB06,CL046,2,inherited incident_cluster_id; full relation basis not recoverable,Amazon Censors Gay Books,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,inherited_snapshot_rechecked,SRC-046,v16_table_row_canonical_hash,a0f2958276784a8dba07c6a0e04a68fea579f86c26f5498c4a983a6d3229c656,2008-05-23,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,15,CL046
V25R047,PUB07,PUB07,CL047,2,inherited incident_cluster_id; full relation basis not recoverable,Images of Black People Labeled as Gorillas,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,inherited_snapshot_rechecked,SRC-047,v16_table_row_canonical_hash,c1b25b748b9d930e247fe0af99868f7028a26c6625cf32264ac680496f11d2d3,2015-06-03,2026-08-15,2026-08-28,HTTP_200,not_recovered,partial_support,partial_support,16,CL047
V25R048,PUB08,PUB08,CL048,2,inherited incident_cluster_id; full relation basis not recoverable,A Collection of Tesla Autopilot-Involved Crashes,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,inherited_snapshot_rechecked,SRC-048,v16_table_row_canonical_hash,fa8a83c333f58fa35ec07335fc28b1e5b71155e28c70951dd2d6c575b5e31e91,2016-06-30,2026-08-15,2026-08-28,HTTP_200,partial_support,not_recovered,not_recovered,20,CL048
V25R049,PUB09,PUB09,CL049,2,inherited incident_cluster_id; full relation basis not recoverable,Robot kills worker at German Volkswagen plant,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,inherited_snapshot_rechecked,SRC-049,v16_table_row_canonical_hash,7096ecc6dae9f27d301f78b4b309e7cc4edd2b3dc89e2f32de99d4c4d78b7860,2014-07-15,2026-08-15,2026-08-28,HTTP_200,not_recovered,partial_support,not_recovered,24,CL049
V25R050,PUB10,PUB10,CL050,1,inherited incident_cluster_id; full relation basis not recoverable,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT,inherited_v21_v16_baseline,direct,inherited_v16_record,retained from v21/v16 baseline to preserve the historical 60-case comparison,regulatory_or_official,URL_failed_snapshot_retained,SRC-050,v16_table_row_canonical_hash,d288a3b01b8809aae6e8643660d508b49ff79e22c4b1fc99b3e774a826917f7d,2020-01-30,2026-08-15,2026-08-28,HTTP_403,not_recovered,partial_support,not_recovered,74,CL050
