record_id,case_id,source_stratum,historical_selection_cohort,title,url_check_status,source_relationship,retained_material_primary_class,fields_with_incident_narrative,manual_adjudication,class_source_excerpt,class_evidence_excerpt_v25,class_reverification_excerpt,class_v29_exposure_excerpt,class_v29_follow_up_excerpt,class_v29_closure_excerpt,recorded_supported_components_of_14,recorded_evidence_excerpt_nonempty_of_14,reading_of_zero,non_recovery_cause_status
V25R011,AIID11,AIID,inherited_v21_v16_baseline,Defamation via AutoComplete,HTTP_404,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,6,6,n/a,
V25R012,AIID12,AIID,inherited_v21_v16_baseline,Gender Biases of Google Image Search,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,incident_narrative,incident_narrative,incident_narrative,2,2,n/a,
V25R013,AIID13,AIID,inherited_v21_v16_baseline,"Facebook’s ""Tag Suggestions"" Allegedly Stored Biometric Data without User Consent",HTTP_200,registry_derived,incident_narrative,v29_closure_excerpt,not_adjudicated,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R014,AIID14,AIID,inherited_v21_v16_baseline,Biased Google Image Results,HTTP_404,registry_derived,incident_narrative,v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,incident_narrative,incident_narrative,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R015,AIID15,AIID,inherited_v21_v16_baseline,Google Image Showed Racially Biased Results for “Professional” Hairstyles,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,incident_narrative,incident_fragments,non_incident_prose,incident_narrative,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R016,AIID16,AIID,inherited_v21_v16_baseline,Inefficiencies in the United States Resident Matching Program,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R017,AIID17,AIID,inherited_v21_v16_baseline,St George's Hospital Medical School allegedly Automated Admissions with Discriminatory Res,HTTP_404,registry_derived,incident_narrative,v29_exposure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,incident_narrative,non_incident_prose,non_incident_prose,6,6,n/a,
V25R018,AIID18,AIID,inherited_v21_v16_baseline,Kidney Testing Method Allegedly Underestimated Risk of Black Patients,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_follow_up_excerpt,not_adjudicated,meta_note,incident_narrative,incident_fragments,non_incident_prose,incident_narrative,non_incident_prose,4,4,n/a,
V25R019,AIID19,AIID,inherited_v21_v16_baseline,Algorithmic Teacher Evaluation Program Reportedly Failed to Improve Student Outcomes and W,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,chrome_or_metadata_only,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R020,AIID20,AIID,inherited_v21_v16_baseline,Major Universities Are Reportedly Using Race as a 'High Impact Predictor' of Student Succe,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_follow_up_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,non_incident_prose,incident_narrative,non_incident_prose,3,3,n/a,
V25R021,AIID21,AIID,inherited_v21_v16_baseline,Collection of Robotic Surgery Malfunctions,HTTP_404,registry_derived,incident_narrative,v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,incident_narrative,incident_narrative,2,2,n/a,
V25R022,AIID22,AIID,inherited_v21_v16_baseline,Arkansas's Opaque Algorithm to Allocate Health Care Excessively Cut Down Hours for Benefic,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25,not_adjudicated,meta_note,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,indeterminate_from_retained_bundle
V25R023,AIID23,AIID,inherited_v21_v16_baseline,"Facebook ""News Feed"" Allegedly Boosted Misinformation and Violating Content Following Use ",HTTP_401,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R024,AIID24,AIID,inherited_v21_v16_baseline,Warehouse robot ruptures can of bear spray and injures workers,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,
V25R025,AIID25,AIID,inherited_v21_v16_baseline,Length of Stay False Diagnosis Cut Off Insurer's Payment for Treatment of Elderly Woman,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R026,AIID26,AIID,inherited_v21_v16_baseline,Virginia Courts’ Algorithmic Recidivism Risk Assessment Failed to Lower Incarceration Rate,HTTP_403,registry_derived,incident_narrative,v29_exposure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,incident_narrative,non_incident_prose,non_incident_prose,2,2,n/a,
V25R027,AIID27,AIID,inherited_v21_v16_baseline,Unverified Misreading by Automated Plate Reader Led to Traffic Stop and Restraint of an In,HTTP_403,registry_derived,incident_narrative,v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,incident_narrative,incident_narrative,1,1,n/a,
V25R028,AIID28,AIID,inherited_v21_v16_baseline,Police Reportedly Deployed ShotSpotter Sensors Disproportionately in Neighborhoods of Colo,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,
V25R029,AIID29,AIID,inherited_v21_v16_baseline,Chicago Police's Strategic Subject List Reportedly Biased Along Racial Lines,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25,not_adjudicated,meta_note,incident_narrative,empty,non_incident_prose,non_incident_prose,non_incident_prose,6,6,n/a,
V25R030,AIID30,AIID,inherited_v21_v16_baseline,Police Departments Reported ShotSpotter as Unreliable and Wasteful,HTTP_200,registry_derived,incident_narrative,v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,chrome_or_metadata_only,chrome_or_metadata_only,incident_narrative,incident_narrative,incident_narrative,1,1,n/a,indeterminate_from_retained_bundle
V25R031,AIID31,AIID,inherited_v21_v16_baseline,Facebook Ad-Approval Algorithm Allegedly Missed Fraudulent Ads via Simple URL Checks,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R032,AIID32,AIID,inherited_v21_v16_baseline,Security Robot Rolls Over Child in Mall,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R033,AIID33,AIID,inherited_v21_v16_baseline,BBC Reporter's Twin Brother Cracked HSBC's Voice ID Authentication,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,meta_note,incident_fragments,incident_fragments,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R034,AIID34,AIID,inherited_v21_v16_baseline,Deepfake Obama Introduction of Deepfakes,HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R035,AIID35,AIID,inherited_v21_v16_baseline,Security Robot Drowns Itself in a Fountain,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,chrome_or_metadata_only,3,3,n/a,
V25R036,AIID36,AIID,inherited_v21_v16_baseline,Machine Personal Assistants Failed to Maintain Social Norms,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25,not_adjudicated,meta_note,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,
V25R037,AIID37,AIID,inherited_v21_v16_baseline,UT Austin's GRADE Algorithm Reportedly Reduced Review of Lower-Scored PhD Applicants Amid ,HTTP_200,registry_derived,incident_narrative,v29_closure_excerpt,not_adjudicated,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,incident_narrative,6,6,n/a,
V25R038,AIID38,AIID,inherited_v21_v16_baseline,Inappropriate Gmail Smart Reply Suggestions,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,incident_narrative,incident_fragments,incident_narrative,incident_narrative,incident_narrative,1,1,n/a,
V25R039,AIID39,AIID,inherited_v21_v16_baseline,COMPAS Algorithm Reportedly Performs Poorly in Crime Recidivism Prediction,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25,not_adjudicated,meta_note,incident_narrative,chrome_or_metadata_only,non_incident_prose,non_incident_prose,non_incident_prose,8,8,n/a,
V25R040,AIID40,AIID,inherited_v21_v16_baseline,Tougher Turing Test Exposes Chatbots’ Stupidity (migrated to Issue),HTTP_200,registry_derived,no_incident_narrative,none,not_adjudicated,meta_note,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R041,PUB01,direct source,inherited_v21_v16_baseline,Google’s YouTube Kids App Presents Inappropriate Content,HTTP_200,regulatory_or_official,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,incident_narrative,incident_narrative,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R042,PUB02,direct source,inherited_v21_v16_baseline,Crashes with Maneuvering Characteristics Augmentation System (MCAS),HTTP_403,regulatory_or_official,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,
V25R043,PUB03,direct source,inherited_v21_v16_baseline,Uber AV Killed Pedestrian in Arizona,HTTP_403,regulatory_or_official,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,1,1,n/a,
V25R044,PUB04,direct source,inherited_v21_v16_baseline,"Microsoft's TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter",HTTP_404,regulatory_or_official,no_incident_narrative,none,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,8,8,n/a,
V25R045,PUB05,direct source,inherited_v21_v16_baseline,New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Te,request_error,regulatory_or_official,incident_narrative,v29_exposure_excerpt; v29_follow_up_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,incident_narrative,incident_narrative,non_incident_prose,2,2,n/a,
V25R046,PUB06,direct source,inherited_v21_v16_baseline,Amazon Censors Gay Books,HTTP_200,regulatory_or_official,incident_narrative,evidence_excerpt_v25; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,incident_narrative,non_incident_prose,incident_narrative,incident_narrative,incident_narrative,2,2,n/a,
V25R047,PUB07,direct source,inherited_v21_v16_baseline,Images of Black People Labeled as Gorillas,HTTP_200,regulatory_or_official,incident_narrative,evidence_excerpt_v25; v29_exposure_excerpt,not_adjudicated,meta_note,incident_narrative,chrome_or_metadata_only,incident_narrative,non_incident_prose,non_incident_prose,7,7,n/a,indeterminate_from_retained_bundle
V25R048,PUB08,direct source,inherited_v21_v16_baseline,A Collection of Tesla Autopilot-Involved Crashes,HTTP_200,regulatory_or_official,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_closure_excerpt,not_adjudicated,meta_note,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,incident_narrative,5,5,n/a,
V25R049,PUB09,direct source,inherited_v21_v16_baseline,Robot kills worker at German Volkswagen plant,HTTP_200,regulatory_or_official,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt,not_adjudicated,meta_note,incident_narrative,incident_fragments,incident_narrative,non_incident_prose,non_incident_prose,2,2,n/a,indeterminate_from_retained_bundle
V25R050,PUB10,direct source,inherited_v21_v16_baseline,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT,HTTP_403,regulatory_or_official,incident_narrative,v29_follow_up_excerpt,not_adjudicated,meta_note,meta_note,non_incident_prose,non_incident_prose,incident_narrative,non_incident_prose,3,3,n/a,indeterminate_from_retained_bundle
V25R051,OECD01,OECD AIM,inherited_v21_v16_baseline,"San Francisco Robotaxi Backlash: AI Vehicles Face Public Protest, Vandalism, and Safety Co",HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + headline (b),meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,non_incident_prose,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R052,OECD02,OECD AIM,inherited_v21_v16_baseline,WHO Warns of AI Risks in Healthcare Amid Regulatory Gaps in Europe - OECD.AI,HTTP_200,regulatory_or_official,no_incident_narrative,none,no narrative - headline (b) + taxonomy (a) + hazard rationale (c),meta_note,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R053,OECD03,OECD AIM,inherited_v21_v16_baseline,Waymo Autonomous Taxi Disrupts London Crime Scene During Testing - OECD.AI,HTTP_200,registry_derived,incident_narrative,v29_follow_up_excerpt; v29_closure_excerpt,narrative (d) - taxi entered crime scene; zero defensible,meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,incident_narrative,incident_narrative,0,0,not_recovered,indeterminate_from_retained_bundle
V25R054,OECD04,OECD AIM,inherited_v21_v16_baseline,AI Genetic Risk Prediction Raises Privacy and Healthcare Access Concerns - OECD.AI,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,partial narrative (d) - summary of what the article states,meta_note,incident_narrative,incident_narrative,non_incident_prose,non_incident_prose,non_incident_prose,0,0,not_recovered,indeterminate_from_retained_bundle
V25R055,OECD05,OECD AIM,inherited_v21_v16_baseline,Retailers Secretly Use Facial Recognition AI to Track Shoppers Without Consent - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - headlines (b) + taxonomy (a),meta_note,non_incident_prose,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R056,OECD06,OECD AIM,inherited_v21_v16_baseline,Automakers Advance 'Eyes-Off' AI Driving Amid Safety and Liability Concerns - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,"no narrative - taxonomy (a) only, all three fields",meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R057,OECD07,OECD AIM,inherited_v21_v16_baseline,Study Reveals AI Bias in Healthcare Treatment Recommendations - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + headline (b),meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R058,OECD08,OECD AIM,inherited_v21_v16_baseline,ICE Deploys AI-Powered Facial Recognition App for Field Identification - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,"no narrative - taxonomy (a) only, all three fields",meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R059,OECD09,OECD AIM,inherited_v21_v16_baseline,Scientists Warn AI in Healthcare May Worsen Ethnic Minority Inequalities - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - taxonomy (a) + hazard rationale (c),meta_note,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,non_incident_prose,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R060,OECD10,OECD AIM,inherited_v21_v16_baseline,AI-Generated Medical Information Risks Inaccuracy in Patient Care - OECD.AI,HTTP_200,registry_derived,no_incident_narrative,none,no narrative - headline (b) + taxonomy (a),meta_note,non_incident_prose,non_incident_prose,non_incident_prose,chrome_or_metadata_only,chrome_or_metadata_only,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R061,AIID001,AIID,additional_non_overlapping_aiid,Google’s YouTube Kids App Presents Inappropriate Content,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,chrome_or_metadata_only,incident_narrative,3,3,n/a,
V25R062,AIID003,AIID,additional_non_overlapping_aiid,Crashes with Maneuvering Characteristics Augmentation System (MCAS),HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt,not_adjudicated,non_incident_prose,incident_narrative,incident_fragments,non_incident_prose,chrome_or_metadata_only,non_incident_prose,3,3,n/a,
V25R063,AIID004,AIID,additional_non_overlapping_aiid,Uber AV Killed Pedestrian in Arizona,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,non_incident_prose,non_incident_prose,3,3,n/a,
V25R064,AIID006,AIID,additional_non_overlapping_aiid,"Microsoft's TayBot Allegedly Posts Racist, Sexist, and Anti-Semitic Content to Twitter",HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,non_incident_prose,incident_narrative,8,8,n/a,
V25R065,AIID007,AIID,additional_non_overlapping_aiid,Wikipedia Vandalism Prevention Bot Loop,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,chrome_or_metadata_only,non_incident_prose,3,3,n/a,
V25R066,AIID009,AIID,additional_non_overlapping_aiid,New York City Reportedly Released Disputed Value-Added Teacher Ratings for Thousands of Te,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,incident_narrative,non_incident_prose,5,5,n/a,
V25R067,AIID010,AIID,additional_non_overlapping_aiid,Kronos Scheduling Algorithm Allegedly Caused Financial Issues for Starbucks Employees,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,incident_narrative,incident_narrative,2,2,n/a,
V25R068,AIID011,AIID,additional_non_overlapping_aiid,Northpointe Risk Models,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,incident_narrative,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R069,AIID012,AIID,additional_non_overlapping_aiid,Common Biases of Vector Embeddings,HTTP_200,registry_derived,incident_narrative,evidence_excerpt_v25; reverification_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,non_incident_prose,incident_narrative,incident_fragments,non_incident_prose,incident_narrative,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R070,AIID014,AIID,additional_non_overlapping_aiid,Biased Sentiment Analysis,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,incident_narrative,incident_narrative,0,0,retained_material_insufficient,indeterminate_from_retained_bundle
V25R071,AIID015,AIID,additional_non_overlapping_aiid,Amazon Censors Gay Books,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,incident_narrative,incident_narrative,4,4,n/a,
V25R072,AIID016,AIID,additional_non_overlapping_aiid,Images of Black People Labeled as Gorillas,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,incident_narrative,incident_narrative,7,7,n/a,
V25R073,AIID020,AIID,additional_non_overlapping_aiid,A Collection of Tesla Autopilot-Involved Crashes,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,non_incident_prose,non_incident_prose,incident_narrative,2,2,n/a,indeterminate_from_retained_bundle
V25R074,AIID023,AIID,additional_non_overlapping_aiid,Las Vegas Self-Driving Bus Involved in Accident,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,non_incident_prose,non_incident_prose,4,4,n/a,
V25R075,AIID024,AIID,additional_non_overlapping_aiid,Robot kills worker at German Volkswagen plant,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,non_incident_prose,non_incident_prose,2,2,n/a,
V25R076,AIID027,AIID,additional_non_overlapping_aiid,Nuclear False Alarm,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,non_incident_prose,incident_narrative,6,6,n/a,
V25R077,AIID031,AIID,additional_non_overlapping_aiid,Driverless Train in Delhi Crashes due to Braking Failure,HTTP_200,registry_derived,incident_narrative,source_excerpt; evidence_excerpt_v25; reverification_excerpt; v29_exposure_excerpt; v29_follow_up_excerpt; v29_closure_excerpt,not_adjudicated,incident_narrative,incident_narrative,incident_fragments,incident_narrative,incident_narrative,incident_narrative,3,3,n/a,
